card_id,customer_id,card_type,card_provider,issue_date,expiry_date,is_active,credit_limit
1,1,Debit,Rupay,2020-01-15,2025-01-15,1,5000.00
2,2,Debit,Rupay,2021-03-10,2026-03-10,1,10000.00
3,3,Debit,Rupay,2019-05-05,2024-05-05,0,0.00
4,4,Debit,Rupay,2022-02-20,2027-02-20,1,7500.00
5,5,Debit,Rupay,2020-07-25,2025-07-25,1,2000.00
6,6,Debit,Rupay,2023-01-18,2028-01-18,1,3000.00
7,7,Debit,Rupay,2019-09-12,2024-09-12,0,0.00
8,8,Debit,Rupay,2022-06-03,2027-06-03,1,8000.00
9,9,Debit,Rupay,2021-04-07,2026-04-07,1,4500.00
10,10,Debit,Rupay,2020-11-11,2025-11-11,1,6000.00
11,11,Debit,Rupay,2022-02-02,2027-02-02,1,2500.00
12,12,Debit,Rupay,2023-05-14,2028-05-14,1,5500.00
13,13,Debit,Rupay,2020-08-20,2025-08-20,1,2000.00
14,14,Debit,Rupay,2021-09-01,2026-09-01,1,3000.00
15,15,Debit,Rupay,2019-10-10,2024-10-10,0,0.00
16,16,Debit,Rupay,2022-12-05,2027-12-05,1,4000.00
17,17,Debit,Rupay,2021-04-01,2026-04-01,1,3500.00
18,18,Debit,Rupay,2023-09-09,2028-09-09,1,5000.00
19,19,Debit,Rupay,2019-02-20,2024-02-20,0,0.00
20,20,Debit,Rupay,2022-11-11,2027-11-11,1,3000.00
21,21,Debit,Rupay,2020-04-25,2025-04-25,1,2000.00
22,22,Debit,Rupay,2021-06-18,2026-06-18,1,7500.00
23,23,Debit,Rupay,2020-05-30,2025-05-30,1,4500.00
24,24,Debit,Rupay,2023-02-20,2028-02-20,1,8000.00
25,25,Debit,Rupay,2021-07-01,2026-07-01,1,5000.00
26,26,Debit,Rupay,2022-03-14,2027-03-14,1,2000.00
27,27,Debit,Rupay,2019-12-05,2024-12-05,0,0.00
28,28,Debit,Rupay,2020-07-22,2025-07-22,1,6000.00
29,29,Debit,Rupay,2021-09-09,2026-09-09,1,4000.00
30,30,Debit,Rupay,2023-01-12,2028-01-12,1,5500.00
31,31,Debit,Rupay,2021-10-10,2026-10-10,1,3500.00
32,32,Debit,Rupay,2022-08-05,2027-08-05,1,2500.00
33,33,Debit,Rupay,2019-01-20,2024-01-20,0,0.00
34,34,Debit,Rupay,2020-04-14,2025-04-14,1,5000.00
35,35,Debit,Rupay,2021-12-01,2026-12-01,1,3000.00
36,36,Debit,Rupay,2023-05-15,2028-05-15,1,4000.00
37,37,Debit,Rupay,2020-03-22,2025-03-22,1,4500.00
38,38,Debit,Rupay,2022-10-01,2027-10-01,1,2000.00
39,39,Debit,Rupay,2020-07-17,2025-07-17,1,7500.00
40,40,Debit,Rupay,2021-12-30,2026-12-30,1,3000.00
41,41,Debit,Rupay,2021-06-06,2026-06-06,1,5000.00
42,42,Debit,Rupay,2023-07-20,2028-07-20,1,6000.00
43,43,Debit,Rupay,2021-05-05,2026-05-05,1,4500.00
44,44,Debit,Rupay,2022-09-09,2027-09-09,1,5500.00
45,45,Debit,Rupay,2020-09-15,2025-09-15,1,4000.00
46,46,Debit,Rupay,2021-01-25,2026-01-25,1,2000.00
47,47,Debit,Rupay,2021-08-18,2026-08-18,1,3000.00
48,48,Debit,Rupay,2023-03-05,2028-03-05,1,5000.00
49,49,Debit,Rupay,2021-02-12,2026-02-12,1,2500.00
50,50,Debit,Rupay,2022-12-12,2027-12-12,1,3500.00
